district,vote_share,mshare,eshare,rep_inc,mccain,median_age,pct_white,pct_college,med_hhinc,pct_female,cshare_nm,aug_mshare,sep_mshare,oct_mshare,aug_cnnshare,sep_cnnshare,oct_cnnshare,vote_share_12,mshare_12
134,63.64500792,95.45454545,91.30434783,1,43,37.6,77.3,38.9,66.495,50.5,0,100,92.85714286,95.83333333,0,0,0,26.84932678,0.180261379
135,16.48357773,0,0,0,12,32.9,35.5,43.1,49.955,53.5,0,0,0,0,0,0,0,31.51616739,80
136,50.07400225,74.90636704,77.64227642,0,43,37.2,78.8,35.5,70.117,50.7,100,63.76811594,85.29411765,74.80314961,0,0,1,16.99573222,55.57586837
137,31.94604452,20.19230769,16.66666667,0,26,39.7,69,45.3,52.843,50.7,0,23.52941176,33.33333333,18.07228916,0,0,0,30.30727243,15
138,51.08046703,90,95.23809524,0,38,40.2,81.3,52,76.127,50.3,0,100,100,87.5,0,0,0,59.22135106,68.88888889
139,57.34896303,56.43564356,55.55555556,0,45,36.5,83.7,23.6,56.151,50.8,100,66.66666667,52.38095238,58.92857143,0,1,0,11.48792465,1.052631579
140,37.91048444,14.28571429,16.66666667,0,44,38.2,78.3,21.3,42.005,51.2,0,0,0,50,0,0,0,45.25783548,71.87779434
141,63.8102788,75,75,1,45,38.1,79.7,46.9,79.517,51.4,0,100,100,0,0,0,0,33.67132641,53.04347826
142,53.25191693,19.64285714,21.27659574,0,44,34.6,77,30.9,64.449,50.2,0,33.33333333,18.75,15.15151515,0,0,0,49.37115718,45.79439252
143,64.32071332,22.54025045,21.40077821,1,50,36,86.2,28.1,48.946,50.4,75,40,57.57575758,10.63829787,1,0,0,41.4305715,42.07650273
144,67.68215097,0,0,1,45,39.3,86,24,53.165,50.8,0,0,0,0,0,0,0,45.27748151,41.28440367
145,55.03296726,35.97883598,32.25806452,0,42,39.6,85.5,17.9,41.607,50.8,0,27.27272727,40.625,34.5323741,0,0,0,50.18347213,0.993822186
146,72.82410892,100,100,1,50,40.5,88.2,24.7,49.281,51,0,100,100,100,0,0,0,58.81789942,33.33333333
147,71.22478547,36.36363636,37.5,1,54,40.9,93,21.4,50.154,49.8,0,50,0,100,0,0,0,68.60607394,97.10144928
148,39.74536967,80,80,0,37,37.6,71.3,21.1,50.376,51.4,0,100,50,100,0,0,0,61.81407052,26.92307692
149,49.29556355,38.46153846,44.04761905,0,45,38.2,84.1,18.9,42.108,50.6,6.666666667,9.090909091,21.21212121,52.54237288,0,0.066666667,0,46.72106114,57.72727273
150,65.46528604,0,0,0,56,36,87.1,22.2,47.287,50.4,0,0,0,0,0,0,0,74.16383775,98.82352941
151,72.2942798,44.44444444,50,0,56,35.8,90.2,27.3,52.259,50.2,0,0,66.66666667,50,0,0,0,32.71680154,50
152,70.99210818,71.42857143,71.42857143,1,59,37.6,89.5,37.2,59.364,51.2,100,66.66666667,60,83.33333333,0,1,0,50.74201389,54.05405405
153,68.99011354,100,100,1,53,39,92.8,17.5,41.607,50.5,100,100,100,100,1,1,1,67.04087641,60.46511628
154,39.096046,47.61904762,61.9047619,0,28,33.1,58.3,21.6,35.012,51.7,0,70,100,21.62162162,0,0,0,64.4578014,66.66666667
155,60.4893692,100,100,0,51,38.9,92.3,18.4,45.31,50.5,0,0,100,100,0,0,0,60.8188999,53.19148936
156,55.31577887,55.44554455,58.75,0,50,37.8,92.9,19.7,44.885,50.7,0,60,78.26086957,46.37681159,0,0,0,62.7144791,12.5
157,48.97164386,0,0,0,41,39.1,91.1,24.8,48.204,50.9,0,0,0,0,0,0,0,37.14983524,50.80645161
158,47.38369716,67.85714286,76.47058824,0,38,36.8,90.3,28.9,50.095,50.5,0,50,100,61.9047619,0,0,0,55.33269066,79.31034483
159,47.81648382,53.33333333,60.78431373,0,44,36.5,88.8,31.1,53.118,50.9,0,33.33333333,55.55555556,60,0,0,0,55.44704541,59.42028986
160,67.25256514,100,100,1,45,38.6,94,24.8,47.562,50.1,0,100,100,100,0,0,0,42.21109053,62.6984127
161,67.02223754,95.70405728,95.10869565,1,54,40.4,93.2,18.8,46.399,50.6,100,100,94.53125,96.15384615,0,1,0,43.32789429,66.38655462
162,76.35189886,60,60,0,69,38.3,89.2,20.9,43.116,50.1,0,100,100,0,0,0,0,54.50150014,71.66666667
163,66.13400332,28.125,88.88888889,1,55,36.7,87.9,27.3,46.309,49.8,0,100,33.33333333,22.22222222,0,0,0,78.03195723,95.67031821
164,60.16896383,55.88235294,57.40740741,0,48,34.8,81.5,43.9,59.5,51,0,44.44444444,38.88888889,65.85365854,0,0,0,NA,NA
165,61.72632383,49.15254237,50.87719298,0,58,36.1,82.3,26.7,47.499,50.8,0,64.28571429,30,47.82608696,0,0,0,59.55341076,65.51724138
166,71.24531098,100,100,1,62,39.9,90.2,14.4,37.203,51.1,0,100,100,0,0,0,0,NA,NA
167,67.88704796,66.66666667,66.66666667,1,61,37.1,89.2,17.2,42.804,50.8,0,100,66.66666667,0,0,0,0,66.33095066,86.04651163
168,44.5929199,51.61290323,50,0,43,38,73,30,45.261,51.8,0,16.66666667,75,51.1627907,0,0,0,69.63347321,86.95652174
