"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
629,"Boogie Woogie","4/23/2010","IFC Films","Black Comedy","R",2618,332,2619
630,"The Slammin' Salmon","12/11/2009","Anchor Bay Entertainment","Comedy","R",2510,318,2509
631,"Daniel y Ana","8/27/2010","Strand","Drama","?",2372,301,2375
632,"El Súperstar: The Unlikely Rise of Juan Francés","9/17/2010","Cinema Libre","Comedy","?",2330,295,2328
633,"You Won't Miss Me","12/10/2010","Reel Diva Consultants","Drama","?",2240,284,2241
634,"Flickan","9/17/2010","Olive Films","Drama","?",2201,279,2201
635,"Sweethearts of the Prison Rodeo","9/17/2010","Cinema Purgatorio","Documentary","?",2198,279,2201
636,"Fallen Idol: The Yuri Gagarin Conspiracy","10/2/2009","Indican Pictures","Documentary","?",2126,269,2122
637,"Nobody's Perfect","4/16/2010","Lorber Films","Documentary","?",2122,269,2122
638,"White On Rice","9/11/2009","Variance Films","Romantic Comedy","PG-13",1985,252,1988
639,"As Good as Dead","10/8/2010","Millenium Films","Thriller/Suspense","R",1981,251,1980
640,"Falling Awake","1/29/2010","IFC Films","Drama","R",1978,251,1980
641,"The Temptation of St. Tony","9/17/2010","Olive Films","Drama","?",1963,249,1965
642,"A Mother's Courage: Talking Back to Autism","9/24/2010","First Run Features","Documentary","?",1916,243,1917
643,"45365","2/26/2010","7th Art Releasing","Documentary","?",1909,242,1909
644,"Gigante","12/30/2009","Film Movement","?","?",1862,236,1862
645,"Clear Blue Tuesday","9/3/2010","CAVU Releasing","Musical","?",1780,226,1783
646,"Manuela and Manuel","3/26/2010","Regent Releasing","?","?",1582,201,1586
647,"Carmo","10/15/2010","First Run Features","Drama","?",1512,192,1515
648,"Carbon Nation","5/7/2010","?","Documentary","?",1470,186,1468
649,"Endgame","11/6/2009","Monterey Media","Drama","PG-13",1407,178,1404
650,"Drool","1/22/2010","Strand","?","?",1403,178,1404
651,"Trucker","10/9/2009","Monterey Media","Drama","R",1237,157,1239
652,"Harimaya Bridge, The","3/12/2010","Eleven Arts","Drama","?",1226,155,1223
653,"Convention","6/4/2010","IFC Films","?","?",1220,155,1223
654,"Suck","9/28/2010","Self Distributed","?","R",1167,148,1168
655,"Yoo-Hoo, Mrs. Goldberg","7/10/2009","International Film Circuit","Documentary","Not Rated",961,122,963
656,"Perrier's Bounty","5/21/2010","?","?","R",828,105,828
657,"Shall We Kiss?","3/27/2009","Music Box Films","Romantic Comedy","Not Rated",814,103,813
658,"Daddy's Home","9/10/2010","Self Distributed","Thriller/Suspense","?",796,101,797
659,"Peter and Vandy","10/9/2009","Strand","?","?",734,93,734
660,"Shake Hands with the Devil","10/29/2010","Regent Releasing","Drama","?",594,75,592
661,"$9.99","6/19/2009","Regent Releasing","Comedy","R",544,69,544
662,"Breakfast with Scot","10/10/2008","Regent Releasing","Drama","PG-13",477,60,473
663,"The Magician","10/29/2010","Regent Releasing","Black Comedy","?",406,51,402
664,"The Wonder of it All","7/17/2009","Indican Pictures","?","?",355,45,355
665,"Tru Loved","10/17/2008","Regent Releasing","Romantic Comedy","R",275,35,276
666,"Glorious Exit","1/15/2010","ArtMattan Productions","?","?",245,31,245
667,"Bolt","11/21/2008","Walt Disney Pictures","Comedy","PG",180,23,181
668,"To Die is Hard","12/17/2010","Driving With Our Eyes Shut","Comedy","?",112,14,110
669,"The Blue Tooth Virgin","9/25/2009","Regent Releasing","?","?",68,9,71
670,"From Mexico with Love","10/9/2009","Roadside Attractions","Drama","PG-13",12,2,16
