"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
120,"The Next Three Days","11/19/2010","Lionsgate","Thriller/Suspense","PG-13",21129348,2677991,21129349
121,"The Kids Are All Right","7/9/2010","Focus Features","Comedy","R",20811365,2637689,20811366
122,"Our Family Wedding","3/12/2010","Fox Searchlight","Comedy","PG-13",20255281,2567209,20255279
123,"Hubble 3D","3/19/2010","Warner Bros.","Documentary","G",20149829,2553844,20149829
124,"Oceans","4/22/2010","Walt Disney Pictures","Documentary","G",19422319,2461637,19422316
125,"Remember Me","3/12/2010","Summit Entertainment","Drama","PG-13",19068240,2416760,19068236
126,"The Princess and the Frog","11/25/2009","Walt Disney Pictures","Adventure","G",18541560,2350008,18541563
127,"Going the Distance","9/3/2010","Warner Bros.","Romantic Comedy","R",17804299,2256565,17804298
128,"Furry Vengeance","4/30/2010","Summit Entertainment","Comedy","PG",17630465,2234533,17630465
129,"Splice","6/4/2010","Warner Bros.","Horror","R",17010170,2155915,17010169
130,"The Ghost Writer","2/19/2010","Summit Entertainment","Thriller/Suspense","PG-13",15541549,1969778,15541548
131,"Youth in Revolt","1/8/2010","Weinstein/Dimension","Comedy","R",15285588,1937337,15285589
132,"My Soul to Take","10/8/2010","Universal","Horror","R",14744435,1868750,14744438
133,"Repo Men","3/19/2010","Universal","Action","R",13942007,1767048,13942009
134,"Case 39","10/1/2010","Paramount Vantage","Horror","?",13261851,1680843,13261851
135,"Extraordinary Measures","1/22/2010","CBS Films","Drama","PG",12482741,1582096,12482737
136,"Let Me In","10/1/2010","Overture Films","Thriller/Suspense","R",12134935,1538015,12134938
137,"The Girl with the Dragon Tatto","3/19/2010","Music Box Films","Thriller/Suspense","R",10561224,1338558,10561223
138,"Jonah Hex","6/18/2010","Warner Bros.","Action","PG-13",10547117,1336770,10547115
139,"127 Hours","11/5/2010","Fox Searchlight","Drama","R",10434435,1322489,10434438
140,"Fair*Game","11/5/2010","Summit Entertainment","Drama","PG-13",9118756,1155736,9118757
141,"Get Low","7/30/2010","Sony Pictures Classics","?","PG-13",9111488,1154815,9111490
142,"The Twilight Saga: New Moon","11/20/2009","Summit Entertainment","Drama","PG-13",8668979,1098730,8668980
143,"The Young Victoria","12/18/2009","Apparition","Drama","PG",8544935,1083008,8544933
144,"MacGruber","5/21/2010","Universal","Comedy","R",8525600,1080558,8525603
145,"The Girl Who Played with Fire","12/25/2009","Music Box Films","Thriller/Suspense","R",8480758,1074874,8480756
146,"Barney's Version","12/31/2010","Sony Pictures Classics","Drama","R",7502560,950895,7502562
147,"Cyrus","6/18/2010","Fox Searchlight","Comedy","R",7468936,946633,7468934
148,"A Single Man","12/11/2009","Weinstein Co.","Drama","R",7444351,943517,7444349
149,"Babies","5/7/2010","Focus Features","Documentary","PG",7320323,927798,7320326
150,"Incendies","9/17/2010","Sony Pictures Classics","Drama","R",6857096,869087,6857096
151,"Conviction","10/15/2010","Fox Searchlight","Drama","?",6797696,861558,6797693
152,"City Island","3/19/2010","Anchor Bay Entertainment","Comedy","PG-13",6671036,845505,6671034
153,"The Imaginarium of Doctor Parnassus","12/25/2009","Sony Pictures Classics","Adventure","PG-13",6659786,844079,6659783
154,"The Last Station","1/15/2010","Sony Pictures Classics","Drama","R",6617867,838766,6617864
155,"Waiting for Superman","9/24/2010","Paramount Vantage","Documentary","PG",6417135,813325,6417134
156,"The Secret in Their Eyes","4/16/2010","Sony Pictures Classics","Drama","R",6391436,810068,6391437
157,"It's Kind of a Funny Story","10/8/2010","Focus Features","Comedy","PG-13",6363628,806543,6363624
158,"Winter's Bone","6/11/2010","Roadside Attractions","Drama","R",6245508,791573,6245511
159,"Nine","12/18/2009","Weinstein Co.","Musical","PG-13",5930989,751710,5930992
160,"Under the Sea 3-D","2/13/2009","Warner Bros.","Documentary","G",5857442,742388,5857441
161,"The Warrior's Way","12/3/2010","Relativity","Western","R",5569301,705868,5569299
162,"The Girl Who Kicked the Hornet's Nest","4/30/2010","Music Box Films","Thriller/Suspense","R",5273085,668325,5273084
163,"I am Love","6/18/2010","Magnolia Pictures","Drama","?",5005465,634406,5005463
164,"Mao's Last Dancer","8/20/2010","Samuel Goldwyn Films","Drama","PG",4806750,609221,4806754
165,"An Education","10/9/2009","Sony Pictures Classics","Drama","PG-13",4691390,594599,4691386
166,"Solitary Man","5/21/2010","Anchor Bay Entertainment","Drama","R",4360548,552668,4360551
